location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2020-01-06 13:59:50 +0100;226;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:04:48 +0100;6;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:04:59 +0100;216;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:08:10 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:09:54 +0100;226;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:13:27 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:14:59 +0100;208;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:16:55 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:19:58 +0100;262;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:24:27 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:24:59 +0100;195;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:29:15 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:29:59 +0100;229;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:32:20 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:34:55 +0100;247;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:37:55 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:39:56 +0100;255;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:42:26 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:44:55 +0100;256;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:49:58 +0100;258;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:54:10 +0100;6;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:54:58 +0100;313;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:59:00 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 14:59:59 +0100;290;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:03:07 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:04:59 +0100;240;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:09:31 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:09:58 +0100;262;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:13:30 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:14:58 +0100;262;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:19:15 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:19:57 +0100;269;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:21:09 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:24:57 +0100;258;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:29:47 +0100;10;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:29:58 +0100;261;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:33:41 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:34:58 +0100;323;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:35:36 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:39:59 +0100;245;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:44:58 +0100;282;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:44:58 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:49:03 +0100;8;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:49:58 +0100;327;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:51:22 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:54:59 +0100;308;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:59:49 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 15:59:56 +0100;331;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:03:20 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:04:58 +0100;304;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:09:39 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:09:58 +0100;312;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:13:14 +0100;6;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:14:59 +0100;286;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:18:32 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:19:59 +0100;277;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:22:12 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:24:54 +0100;265;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:28:01 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:29:59 +0100;285;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:34:43 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:34:56 +0100;268;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:39:38 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:39:57 +0100;214;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:44:46 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:44:59 +0100;243;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:49:03 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:49:56 +0100;259;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:53:52 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:54:59 +0100;289;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:57:28 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 16:59:59 +0100;265;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:03:14 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:04:53 +0100;247;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:06:05 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:09:55 +0100;239;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:11:58 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:14:59 +0100;207;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:16:42 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:19:58 +0100;250;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:21:39 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:24:51 +0100;250;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:28:31 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:29:59 +0100;191;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:33:58 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:34:57 +0100;170;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:39:09 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:39:55 +0100;195;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:44:59 +0100;167;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:48:20 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:49:56 +0100;194;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:54:17 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:54:59 +0100;179;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:57:19 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 17:59:57 +0100;181;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:03:37 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:04:57 +0100;170;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:08:42 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:09:47 +0100;156;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:12:34 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:14:56 +0100;133;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:19:57 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:19:59 +0100;154;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 18:24:59 +0100;168;regular;""
